Parameters transmitter:
Bitrate: 960
Baudrate: 240
Bits per symbol: 4
Modulation: DP_QPSK
N bits: 32768
N samples: 65536
N samples per bits: 2
N samples per sym: 8
N symbols: 8192
df: 2.92969e+07
dt: 5.20833e-13

f[i] ; t[i] 
-9.54668e+11;9.47917e-11
-9.54639e+11;9.53125e-11
-9.54609e+11;9.58333e-11
-9.5458e+11;9.63542e-11
-9.54551e+11;9.6875e-11
-9.54521e+11;9.73958e-11
-9.54492e+11;9.79167e-11
-9.54463e+11;9.84375e-11
-9.54434e+11;9.89583e-11
-9.54404e+11;9.94792e-11
-9.54375e+11;1e-10
-9.54346e+11;1.00521e-10
-9.54316e+11;1.01042e-10
-9.54287e+11;1.01563e-10
-9.54258e+11;1.02083e-10
-9.54229e+11;1.02604e-10
-9.54199e+11;1.03125e-10
-9.5417e+11;1.03646e-10
-9.54141e+11;1.04167e-10
-9.54111e+11;1.04688e-10
-9.54082e+11;1.05208e-10
-9.54053e+11;1.05729e-10
-9.54023e+11;1.0625e-10
-9.53994e+11;1.06771e-10
-9.53965e+11;1.07292e-10
-9.53936e+11;1.07813e-10
-9.53906e+11;1.08333e-10
-9.53877e+11;1.08854e-10
-9.53848e+11;1.09375e-10
-9.53818e+11;1.09896e-10
-9.53789e+11;1.10417e-10
-9.5376e+11;1.10937e-10
-9.5373e+11;1.11458e-10
-9.53701e+11;1.11979e-10
-9.53672e+11;1.125e-10
-9.53643e+11;1.13021e-10
-9.53613e+11;1.13542e-10
-9.53584e+11;1.14063e-10
-9.53555e+11;1.14583e-10
-9.53525e+11;1.15104e-10
-9.53496e+11;1.15625e-10
-9.53467e+11;1.16146e-10
-9.53438e+11;1.16667e-10
-9.53408e+11;1.17188e-10
-9.53379e+11;1.17708e-10
-9.5335e+11;1.18229e-10
-9.5332e+11;1.1875e-10
-9.53291e+11;1.19271e-10
-9.53262e+11;1.19792e-10
-9.53232e+11;1.20312e-10
-9.53203e+11;1.20833e-10
-9.53174e+11;1.21354e-10
-9.53145e+11;1.21875e-10
-9.53115e+11;1.22396e-10
-9.53086e+11;1.22917e-10
-9.53057e+11;1.23437e-10
-9.53027e+11;1.23958e-10
-9.52998e+11;1.24479e-10
-9.52969e+11;1.25e-10
-9.52939e+11;1.25521e-10
-9.5291e+11;1.26042e-10
-9.52881e+11;1.26562e-10
-9.52852e+11;1.27083e-10
-9.52822e+11;1.27604e-10
-9.52793e+11;1.28125e-10
-9.52764e+11;1.28646e-10
-9.52734e+11;1.29167e-10
-9.52705e+11;1.29687e-10
-9.52676e+11;1.30208e-10
-9.52646e+11;1.30729e-10
-9.52617e+11;1.3125e-10
-9.52588e+11;1.31771e-10
-9.52559e+11;1.32292e-10
-9.52529e+11;1.32813e-10
-9.525e+11;1.33333e-10
-9.52471e+11;1.33854e-10
-9.52441e+11;1.34375e-10
-9.52412e+11;1.34896e-10
-9.52383e+11;1.35417e-10
-9.52354e+11;1.35938e-10
-9.52324e+11;1.36458e-10
-9.52295e+11;1.36979e-10
-9.52266e+11;1.375e-10
-9.52236e+11;1.38021e-10
-9.52207e+11;1.38542e-10
-9.52178e+11;1.39063e-10
-9.52148e+11;1.39583e-10
-9.52119e+11;1.40104e-10
-9.5209e+11;1.40625e-10
-9.52061e+11;1.41146e-10
-9.52031e+11;1.41667e-10
-9.52002e+11;1.42188e-10
-9.51973e+11;1.42708e-10
-9.51943e+11;1.43229e-10
-9.51914e+11;1.4375e-10
-9.51885e+11;1.44271e-10
-9.51855e+11;1.44792e-10
-9.51826e+11;1.45313e-10
-9.51797e+11;1.45833e-10
-9.51768e+11;1.46354e-10
-9.51738e+11;1.46875e-10
-9.51709e+11;1.47396e-10
-9.5168e+11;1.47917e-10
-9.5165e+11;1.48438e-10
-9.51621e+11;1.48958e-10
-9.51592e+11;1.49479e-10
-9.51562e+11;1.5e-10
-9.51533e+11;1.50521e-10
-9.51504e+11;1.51042e-10
-9.51475e+11;1.51563e-10
-9.51445e+11;1.52083e-10
-9.51416e+11;1.52604e-10
-9.51387e+11;1.53125e-10
-9.51357e+11;1.53646e-10
-9.51328e+11;1.54167e-10
-9.51299e+11;1.54688e-10
-9.5127e+11;1.55208e-10
-9.5124e+11;1.55729e-10
-9.51211e+11;1.5625e-10
-9.51182e+11;1.56771e-10
-9.51152e+11;1.57292e-10
-9.51123e+11;1.57813e-10
-9.51094e+11;1.58333e-10
-9.51064e+11;1.58854e-10
-9.51035e+11;1.59375e-10
-9.51006e+11;1.59896e-10
-9.50977e+11;1.60417e-10
-9.50947e+11;1.60937e-10
-9.50918e+11;1.61458e-10
-9.50889e+11;1.61979e-10
-9.50859e+11;1.625e-10
-9.5083e+11;1.63021e-10
-9.50801e+11;1.63542e-10
-9.50771e+11;1.64062e-10
-9.50742e+11;1.64583e-10
-9.50713e+11;1.65104e-10
-9.50684e+11;1.65625e-10
-9.50654e+11;1.66146e-10
-9.50625e+11;1.66667e-10
-9.50596e+11;1.67187e-10
-9.50566e+11;1.67708e-10
-9.50537e+11;1.68229e-10
-9.50508e+11;1.6875e-10
-9.50479e+11;1.69271e-10
-9.50449e+11;1.69792e-10
-9.5042e+11;1.70312e-10
-9.50391e+11;1.70833e-10
-9.50361e+11;1.71354e-10
-9.50332e+11;1.71875e-10
-9.50303e+11;1.72396e-10
-9.50273e+11;1.72917e-10
-9.50244e+11;1.73438e-10
-9.50215e+11;1.73958e-10
-9.50186e+11;1.74479e-10
-9.50156e+11;1.75e-10
-9.50127e+11;1.75521e-10
-9.50098e+11;1.76042e-10
-9.50068e+11;1.76563e-10
-9.50039e+11;1.77083e-10
-9.5001e+11;1.77604e-10
-9.4998e+11;1.78125e-10
-9.49951e+11;1.78646e-10
-9.49922e+11;1.79167e-10
-9.49893e+11;1.79688e-10
-9.49863e+11;1.80208e-10
-9.49834e+11;1.80729e-10
-9.49805e+11;1.8125e-10
-9.49775e+11;1.81771e-10
-9.49746e+11;1.82292e-10
-9.49717e+11;1.82813e-10
-9.49688e+11;1.83333e-10
-9.49658e+11;1.83854e-10
-9.49629e+11;1.84375e-10
-9.496e+11;1.84896e-10
-9.4957e+11;1.85417e-10
-9.49541e+11;1.85938e-10
-9.49512e+11;1.86458e-10
-9.49482e+11;1.86979e-10
-9.49453e+11;1.875e-10
-9.49424e+11;1.88021e-10
-9.49395e+11;1.88542e-10
-9.49365e+11;1.89063e-10
-9.49336e+11;1.89583e-10
-9.49307e+11;1.90104e-10
-9.49277e+11;1.90625e-10
-9.49248e+11;1.91146e-10
-9.49219e+11;1.91667e-10
-9.49189e+11;1.92188e-10
-9.4916e+11;1.92708e-10
-9.49131e+11;1.93229e-10
-9.49102e+11;1.9375e-10
-9.49072e+11;1.94271e-10
-9.49043e+11;1.94792e-10
-9.49014e+11;1.95313e-10
-9.48984e+11;1.95833e-10
-9.48955e+11;1.96354e-10
-9.48926e+11;1.96875e-10
-9.48896e+11;1.97396e-10
-9.48867e+11;1.97917e-10
-9.48838e+11;1.98438e-10
-9.48809e+11;1.98958e-10
-9.48779e+11;1.99479e-10
-9.4875e+11;2e-10
-9.48721e+11;2.00521e-10
-9.48691e+11;2.01042e-10
-9.48662e+11;2.01562e-10
-9.48633e+11;2.02083e-10
-9.48604e+11;2.02604e-10
-9.48574e+11;2.03125e-10
-9.48545e+11;2.03646e-10
-9.48516e+11;2.04167e-10
-9.48486e+11;2.04687e-10
-9.48457e+11;2.05208e-10
-9.48428e+11;2.05729e-10
-9.48398e+11;2.0625e-10
-9.48369e+11;2.06771e-10
-9.4834e+11;2.07292e-10
-9.48311e+11;2.07812e-10
-9.48281e+11;2.08333e-10
-9.48252e+11;2.08854e-10
-9.48223e+11;2.09375e-10
-9.48193e+11;2.09896e-10
-9.48164e+11;2.10417e-10
-9.48135e+11;2.10938e-10
-9.48105e+11;2.11458e-10
-9.48076e+11;2.11979e-10
-9.48047e+11;2.125e-10
-9.48018e+11;2.13021e-10
-9.47988e+11;2.13542e-10
-9.47959e+11;2.14063e-10
-9.4793e+11;2.14583e-10
-9.479e+11;2.15104e-10
-9.47871e+11;2.15625e-10
-9.47842e+11;2.16146e-10
-9.47812e+11;2.16667e-10
-9.47783e+11;2.17188e-10
-9.47754e+11;2.17708e-10
-9.47725e+11;2.18229e-10
-9.47695e+11;2.1875e-10
-9.47666e+11;2.19271e-10
-9.47637e+11;2.19792e-10
-9.47607e+11;2.20313e-10
-9.47578e+11;2.20833e-10
-9.47549e+11;2.21354e-10
-9.4752e+11;2.21875e-10
-9.4749e+11;2.22396e-10
-9.47461e+11;2.22917e-10
-9.47432e+11;2.23438e-10
-9.47402e+11;2.23958e-10
-9.47373e+11;2.24479e-10
-9.47344e+11;2.25e-10
-9.47314e+11;2.25521e-10
-9.47285e+11;2.26042e-10
-9.47256e+11;2.26563e-10
-9.47227e+11;2.27083e-10
-9.47197e+11;2.27604e-10
-9.47168e+11;2.28125e-10
-9.47139e+11;2.28646e-10
-9.47109e+11;2.29167e-10
-9.4708e+11;2.29688e-10
-9.47051e+11;2.30208e-10
-9.47021e+11;2.30729e-10
-9.46992e+11;2.3125e-10
-9.46963e+11;2.31771e-10
-9.46934e+11;2.32292e-10
-9.46904e+11;2.32813e-10
-9.46875e+11;2.33333e-10
-9.46846e+11;2.33854e-10
-9.46816e+11;2.34375e-10
-9.46787e+11;2.34896e-10
-9.46758e+11;2.35417e-10
-9.46729e+11;2.35937e-10
-9.46699e+11;2.36458e-10
-9.4667e+11;2.36979e-10
-9.46641e+11;2.375e-10
-9.46611e+11;2.38021e-10
-9.46582e+11;2.38542e-10
-9.46553e+11;2.39063e-10
-9.46523e+11;2.39583e-10
-9.46494e+11;2.40104e-10
-9.46465e+11;2.40625e-10
-9.46436e+11;2.41146e-10
-9.46406e+11;2.41667e-10
-9.46377e+11;2.42187e-10
-9.46348e+11;2.42708e-10
-9.46318e+11;2.43229e-10
-9.46289e+11;2.4375e-10
-9.4626e+11;2.44271e-10
-9.4623e+11;2.44792e-10
-9.46201e+11;2.45313e-10
-9.46172e+11;2.45833e-10
-9.46143e+11;2.46354e-10
-9.46113e+11;2.46875e-10
-9.46084e+11;2.47396e-10
-9.46055e+11;2.47917e-10
-9.46025e+11;2.48438e-10
-9.45996e+11;2.48958e-10
-9.45967e+11;2.49479e-10
-9.45938e+11;2.5e-10
-9.45908e+11;2.50521e-10
-9.45879e+11;2.51042e-10
-9.4585e+11;2.51563e-10
-9.4582e+11;2.52083e-10
-9.45791e+11;2.52604e-10
-9.45762e+11;2.53125e-10
-9.45732e+11;2.53646e-10
-9.45703e+11;2.54167e-10
-9.45674e+11;2.54688e-10
-9.45645e+11;2.55208e-10
-9.45615e+11;2.55729e-10
-9.45586e+11;2.5625e-10
-9.45557e+11;2.56771e-10
-9.45527e+11;2.57292e-10
-9.45498e+11;2.57813e-10
-9.45469e+11;2.58333e-10
-9.45439e+11;2.58854e-10
-9.4541e+11;2.59375e-10
-9.45381e+11;2.59896e-10
-9.45352e+11;2.60417e-10
-9.45322e+11;2.60938e-10
-9.45293e+11;2.61458e-10
-9.45264e+11;2.61979e-10
-9.45234e+11;2.625e-10
-9.45205e+11;2.63021e-10
-9.45176e+11;2.63542e-10
-9.45146e+11;2.64062e-10
-9.45117e+11;2.64583e-10
-9.45088e+11;2.65104e-10
-9.45059e+11;2.65625e-10
-9.45029e+11;2.66146e-10
-9.45e+11;2.66667e-10
-9.44971e+11;2.67188e-10
-9.44941e+11;2.67708e-10
-9.44912e+11;2.68229e-10
-9.44883e+11;2.6875e-10
-9.44854e+11;2.69271e-10
-9.44824e+11;2.69792e-10
-9.44795e+11;2.70312e-10
-9.44766e+11;2.70833e-10
-9.44736e+11;2.71354e-10
-9.44707e+11;2.71875e-10
-9.44678e+11;2.72396e-10
-9.44648e+11;2.72917e-10
-9.44619e+11;2.73438e-10
-9.4459e+11;2.73958e-10
-9.44561e+11;2.74479e-10
-9.44531e+11;2.75e-10
-9.44502e+11;2.75521e-10
-9.44473e+11;2.76042e-10
-9.44443e+11;2.76562e-10
-9.44414e+11;2.77083e-10
-9.44385e+11;2.77604e-10
-9.44355e+11;2.78125e-10
-9.44326e+11;2.78646e-10
-9.44297e+11;2.79167e-10
-9.44268e+11;2.79688e-10
-9.44238e+11;2.80208e-10
-9.44209e+11;2.80729e-10
-9.4418e+11;2.8125e-10
-9.4415e+11;2.81771e-10
-9.44121e+11;2.82292e-10
-9.44092e+11;2.82812e-10
-9.44062e+11;2.83333e-10
-9.44033e+11;2.83854e-10
-9.44004e+11;2.84375e-10
-9.43975e+11;2.84896e-10
-9.43945e+11;2.85417e-10
-9.43916e+11;2.85938e-10
-9.43887e+11;2.86458e-10
-9.43857e+11;2.86979e-10
-9.43828e+11;2.875e-10
-9.43799e+11;2.88021e-10
-9.4377e+11;2.88542e-10
-9.4374e+11;2.89063e-10
-9.43711e+11;2.89583e-10
-9.43682e+11;2.90104e-10
-9.43652e+11;2.90625e-10
-9.43623e+11;2.91146e-10
-9.43594e+11;2.91667e-10
-9.43564e+11;2.92188e-10
-9.43535e+11;2.92708e-10
-9.43506e+11;2.93229e-10
-9.43477e+11;2.9375e-10
-9.43447e+11;2.94271e-10
-9.43418e+11;2.94792e-10
-9.43389e+11;2.95313e-10
-9.43359e+11;2.95833e-10
-9.4333e+11;2.96354e-10
-9.43301e+11;2.96875e-10
-9.43271e+11;2.97396e-10
-9.43242e+11;2.97917e-10
-9.43213e+11;2.98438e-10
-9.43184e+11;2.98958e-10
-9.43154e+11;2.99479e-10
-9.43125e+11;3e-10
-9.43096e+11;3.00521e-10
-9.43066e+11;3.01042e-10
-9.43037e+11;3.01563e-10
-9.43008e+11;3.02083e-10
-9.42979e+11;3.02604e-10
-9.42949e+11;3.03125e-10
-9.4292e+11;3.03646e-10
-9.42891e+11;3.04167e-10
-9.42861e+11;3.04687e-10
-9.42832e+11;3.05208e-10
-9.42803e+11;3.05729e-10
-9.42773e+11;3.0625e-10
-9.42744e+11;3.06771e-10
-9.42715e+11;3.07292e-10
-9.42686e+11;3.07813e-10
-9.42656e+11;3.08333e-10
-9.42627e+11;3.08854e-10
-9.42598e+11;3.09375e-10
-9.42568e+11;3.09896e-10
-9.42539e+11;3.10417e-10
-9.4251e+11;3.10937e-10
-9.4248e+11;3.11458e-10
-9.42451e+11;3.11979e-10
-9.42422e+11;3.125e-10
-9.42393e+11;3.13021e-10
-9.42363e+11;3.13542e-10
-9.42334e+11;3.14063e-10
-9.42305e+11;3.14583e-10
-9.42275e+11;3.15104e-10
-9.42246e+11;3.15625e-10
-9.42217e+11;3.16146e-10
-9.42188e+11;3.16667e-10
-9.42158e+11;3.17187e-10
-9.42129e+11;3.17708e-10
-9.421e+11;3.18229e-10
-9.4207e+11;3.1875e-10
-9.42041e+11;3.19271e-10
-9.42012e+11;3.19792e-10
-9.41982e+11;3.20313e-10
-9.41953e+11;3.20833e-10
-9.41924e+11;3.21354e-10
-9.41895e+11;3.21875e-10
-9.41865e+11;3.22396e-10
-9.41836e+11;3.22917e-10
-9.41807e+11;3.23438e-10
-9.41777e+11;3.23958e-10
-9.41748e+11;3.24479e-10
-9.41719e+11;3.25e-10
-9.41689e+11;3.25521e-10
-9.4166e+11;3.26042e-10
-9.41631e+11;3.26563e-10
-9.41602e+11;3.27083e-10
-9.41572e+11;3.27604e-10
-9.41543e+11;3.28125e-10
-9.41514e+11;3.28646e-10
-9.41484e+11;3.29167e-10
-9.41455e+11;3.29688e-10
-9.41426e+11;3.30208e-10
-9.41396e+11;3.30729e-10
-9.41367e+11;3.3125e-10
-9.41338e+11;3.31771e-10
-9.41309e+11;3.32292e-10
-9.41279e+11;3.32813e-10
-9.4125e+11;3.33333e-10
-9.41221e+11;3.33854e-10
-9.41191e+11;3.34375e-10
-9.41162e+11;3.34896e-10
-9.41133e+11;3.35417e-10
-9.41104e+11;3.35938e-10
-9.41074e+11;3.36458e-10
-9.41045e+11;3.36979e-10
-9.41016e+11;3.375e-10
-9.40986e+11;3.38021e-10
-9.40957e+11;3.38542e-10
-9.40928e+11;3.39063e-10
-9.40898e+11;3.39583e-10
-9.40869e+11;3.40104e-10
-9.4084e+11;3.40625e-10
-9.40811e+11;3.41146e-10
-9.40781e+11;3.41667e-10
-9.40752e+11;3.42188e-10
-9.40723e+11;3.42708e-10
-9.40693e+11;3.43229e-10
-9.40664e+11;3.4375e-10
-9.40635e+11;3.44271e-10
-9.40605e+11;3.44792e-10
-9.40576e+11;3.45312e-10
-9.40547e+11;3.45833e-10
-9.40518e+11;3.46354e-10
-9.40488e+11;3.46875e-10
-9.40459e+11;3.47396e-10
-9.4043e+11;3.47917e-10
-9.404e+11;3.48438e-10
-9.40371e+11;3.48958e-10
-9.40342e+11;3.49479e-10
-9.40312e+11;3.5e-10
-9.40283e+11;3.50521e-10
-9.40254e+11;3.51042e-10
-9.40225e+11;3.51562e-10
-9.40195e+11;3.52083e-10
-9.40166e+11;3.52604e-10
-9.40137e+11;3.53125e-10
-9.40107e+11;3.53646e-10
-9.40078e+11;3.54167e-10
-9.40049e+11;3.54688e-10
-9.4002e+11;3.55208e-10
-9.3999e+11;3.55729e-10
-9.39961e+11;3.5625e-10
-9.39932e+11;3.56771e-10
-9.39902e+11;3.57292e-10
-9.39873e+11;3.57812e-10
-9.39844e+11;3.58333e-10
-9.39814e+11;3.58854e-10
-9.39785e+11;3.59375e-10
-9.39756e+11;3.59896e-10
-9.39727e+11;3.60417e-10
-9.39697e+11;3.60938e-10
-9.39668e+11;3.61458e-10
-9.39639e+11;3.61979e-10
-9.39609e+11;3.625e-10
-9.3958e+11;3.63021e-10
-9.39551e+11;3.63542e-10
-9.39521e+11;3.64063e-10
-9.39492e+11;3.64583e-10
-9.39463e+11;3.65104e-10
-9.39434e+11;3.65625e-10
-9.39404e+11;3.66146e-10
-9.39375e+11;3.66667e-10
-9.39346e+11;3.67188e-10
-9.39316e+11;3.67708e-10
-9.39287e+11;3.68229e-10
-9.39258e+11;3.6875e-10
-9.39229e+11;3.69271e-10
-9.39199e+11;3.69792e-10
-9.3917e+11;3.70313e-10
-9.39141e+11;3.70833e-10
-9.39111e+11;3.71354e-10
-9.39082e+11;3.71875e-10
-9.39053e+11;3.72396e-10
-9.39023e+11;3.72917e-10
-9.38994e+11;3.73438e-10
-9.38965e+11;3.73958e-10
-9.38936e+11;3.74479e-10
-9.38906e+11;3.75e-10
-9.38877e+11;3.75521e-10
-9.38848e+11;3.76042e-10
-9.38818e+11;3.76563e-10
-9.38789e+11;3.77083e-10
-9.3876e+11;3.77604e-10
-9.3873e+11;3.78125e-10
-9.38701e+11;3.78646e-10
-9.38672e+11;3.79167e-10
-9.38643e+11;3.79688e-10
-9.38613e+11;3.80208e-10
-9.38584e+11;3.80729e-10
-9.38555e+11;3.8125e-10
-9.38525e+11;3.81771e-10
-9.38496e+11;3.82292e-10
-9.38467e+11;3.82813e-10
-9.38438e+11;3.83333e-10
-9.38408e+11;3.83854e-10
-9.38379e+11;3.84375e-10
-9.3835e+11;3.84896e-10
-9.3832e+11;3.85417e-10
-9.38291e+11;3.85937e-10
-9.38262e+11;3.86458e-10
-9.38232e+11;3.86979e-10
-9.38203e+11;3.875e-10
-9.38174e+11;3.88021e-10
-9.38145e+11;3.88542e-10
-9.38115e+11;3.89063e-10
-9.38086e+11;3.89583e-10
-9.38057e+11;3.90104e-10
-9.38027e+11;3.90625e-10
-9.37998e+11;3.91146e-10
-9.37969e+11;3.91667e-10
-9.37939e+11;3.92187e-10
-9.3791e+11;3.92708e-10
-9.37881e+11;3.93229e-10
-9.37852e+11;3.9375e-10
-9.37822e+11;3.94271e-10
-9.37793e+11;3.94792e-10
-9.37764e+11;3.95313e-10
-9.37734e+11;3.95833e-10
-9.37705e+11;3.96354e-10
-9.37676e+11;3.96875e-10
-9.37646e+11;3.97396e-10
-9.37617e+11;3.97917e-10
-9.37588e+11;3.98438e-10
-9.37559e+11;3.98958e-10
-9.37529e+11;3.99479e-10
-9.375e+11;4e-10
-9.37471e+11;4.00521e-10
-9.37441e+11;4.01042e-10
-9.37412e+11;4.01563e-10
-9.37383e+11;4.02083e-10
-9.37354e+11;4.02604e-10
-9.37324e+11;4.03125e-10
-9.37295e+11;4.03646e-10
-9.37266e+11;4.04167e-10
-9.37236e+11;4.04688e-10
-9.37207e+11;4.05208e-10
-9.37178e+11;4.05729e-10
-9.37148e+11;4.0625e-10
-9.37119e+11;4.06771e-10
-9.3709e+11;4.07292e-10
-9.37061e+11;4.07813e-10
-9.37031e+11;4.08333e-10
-9.37002e+11;4.08854e-10
-9.36973e+11;4.09375e-10
-9.36943e+11;4.09896e-10
-9.36914e+11;4.10417e-10
-9.36885e+11;4.10938e-10
-9.36855e+11;4.11458e-10
-9.36826e+11;4.11979e-10
-9.36797e+11;4.125e-10
-9.36768e+11;4.13021e-10
-9.36738e+11;4.13542e-10
-9.36709e+11;4.14063e-10
-9.3668e+11;4.14583e-10
-9.3665e+11;4.15104e-10
-9.36621e+11;4.15625e-10
-9.36592e+11;4.16146e-10
-9.36562e+11;4.16667e-10
-9.36533e+11;4.17188e-10
-9.36504e+11;4.17708e-10
-9.36475e+11;4.18229e-10
-9.36445e+11;4.1875e-10
-9.36416e+11;4.19271e-10
-9.36387e+11;4.19792e-10
-9.36357e+11;4.20312e-10
-9.36328e+11;4.20833e-10
-9.36299e+11;4.21354e-10
-9.3627e+11;4.21875e-10
-9.3624e+11;4.22396e-10
